tweet_id,retweet_count,favorite_count,text_letters_num,tweet_day,tweet_month,tweet_year
871102520638267392,5412,20536,25,Sat,Jun,2017
871032628920680449,3753,22255,136,Sat,Jun,2017
870804317367881728,6102,33002,136,Sat,Jun,2017
870726314365509632,3,117,60,Fri,Jun,2017
870656317836468226,2599,12178,138,Fri,Jun,2017
870374049280663552,25835,81288,139,Thu,Jun,2017
870308999962521604,4093,21473,125,Thu,Jun,2017
870063196459192321,8222,35992,140,Wed,May,2017
869772420881756160,9899,41727,110,Wed,May,2017
869702957897576449,6259,27778,139,Tue,May,2017
869596645499047938,3101,15735,139,Tue,May,2017
869227993411051520,3750,20153,127,Mon,May,2017
868880397819494401,14307,64581,98,Sun,May,2017
868639477480148993,2068,0,140,Sun,May,2017
868622495443632128,5240,26355,102,Sun,May,2017
868552278524837888,2068,9982,139,Sat,May,2017
867900495410671616,4136,23861,127,Fri,May,2017
867774946302451713,7275,33528,61,Thu,May,2017
867421006826221569,2477,15917,133,Wed,May,2017
867072653475098625,119,0,88,Tue,May,2017
867051520902168576,7796,31849,132,Tue,May,2017
866720684873056260,4774,19833,50,Mon,May,2017
866686824827068416,3453,19060,134,Mon,May,2017
866450705531457537,35079,120882,106,Mon,May,2017
866334964761202691,14338,51970,112,Sun,May,2017
866094527597207552,8315,0,140,Sun,May,2017
865718153858494464,5588,25383,130,Fri,May,2017
865359393868664832,4979,26203,127,Fri,May,2017
865006731092295680,7656,27744,117,Thu,May,2017
864873206498414592,8682,31987,117,Wed,May,2017
864279568663928832,3016,14495,129,Tue,May,2017
864197398364647424,8899,29879,93,Mon,May,2017
863907417377173506,4126,20449,117,Mon,May,2017
863553081350529029,4173,15194,91,Sun,May,2017
863471782782697472,2440,0,140,Sat,May,2017
863432100342583297,5230,23650,128,Sat,May,2017
863427515083354112,96,2241,134,Sat,May,2017
863079547188785154,1102,8714,139,Fri,May,2017
863062471531167744,2440,8466,139,Fri,May,2017
862831371563274240,5106,19059,121,Fri,May,2017
862722525377298433,3526,16965,135,Thu,May,2017
862457590147678208,4962,20394,133,Thu,May,2017
862096992088072192,23299,74083,107,Wed,May,2017
861383897657036800,10728,35957,72,Mon,May,2017
861288531465048066,4171,17115,138,Sun,May,2017
861005113778896900,3808,16642,96,Sat,May,2017
860981674716409858,2170,0,140,Sat,May,2017
860924035999428608,820,0,82,Sat,May,2017
860563773140209665,2170,7489,138,Fri,May,2017
860524505164394496,5313,23546,97,Fri,May,2017
860276583193509888,3492,18264,131,Thu,May,2017
860184849394610176,5892,16655,133,Thu,May,2017
860177593139703809,31074,0,140,Thu,May,2017
859924526012018688,4108,19511,140,Thu,May,2017
859851578198683649,3536,15397,137,Wed,May,2017
859607811541651456,1583,18580,136,Wed,May,2017
859196978902773760,30432,89866,124,Tue,May,2017
859074603037188101,13735,33862,139,Mon,May,2017
858860390427611136,8224,0,140,Mon,May,2017
858843525470990336,3516,15557,138,Mon,May,2017
858471635011153920,4885,21534,113,Sun,Apr,2017
858107933456039936,2928,15741,137,Fri,Apr,2017
857989990357356544,2613,16163,134,Fri,Apr,2017
857746408056729600,10777,34336,137,Fri,Apr,2017
857393404942143489,1663,5919,137,Thu,Apr,2017
857263160327368704,4576,20088,134,Wed,Apr,2017
857214891891077121,18,228,28,Wed,Apr,2017
857062103051644929,173,0,140,Wed,Apr,2017
857029823797047296,4066,18995,100,Wed,Apr,2017
856602993587888130,10862,0,139,Mon,Apr,2017
856543823941562368,2929,16345,136,Mon,Apr,2017
856526610513747968,1916,11901,112,Mon,Apr,2017
856330835276025856,689,0,104,Mon,Apr,2017
856288084350160898,17,523,165,Sun,Apr,2017
856282028240666624,6444,27887,121,Sun,Apr,2017
855862651834028034,26,347,86,Sat,Apr,2017
855860136149123072,1044,5055,133,Sat,Apr,2017
855857698524602368,2151,11942,89,Sat,Apr,2017
855851453814013952,18101,45833,134,Sat,Apr,2017
855818117272018944,5551,26821,110,Sat,Apr,2017
855459453768019968,8383,30146,138,Fri,Apr,2017
855245323840757760,6112,0,140,Fri,Apr,2017
855138241867124737,46,0,140,Thu,Apr,2017
854732716440526848,6248,23067,113,Wed,Apr,2017
854482394044301312,7044,29614,100,Tue,Apr,2017
854365224396361728,4805,19108,115,Tue,Apr,2017
854120357044912130,7685,32367,139,Mon,Apr,2017
854010172552949760,3232,16408,140,Mon,Apr,2017
853760880890318849,5944,28968,118,Mon,Apr,2017
853639147608842240,10436,35291,108,Sun,Apr,2017
853299958564483072,3676,15757,125,Sat,Apr,2017
852936405516943360,2069,0,140,Fri,Apr,2017
852912242202992640,1892,9204,139,Fri,Apr,2017
852672615818899456,2226,15171,113,Thu,Apr,2017
852553447878664193,3622,16625,124,Thu,Apr,2017
852311364735569921,10203,33680,119,Thu,Apr,2017
852226086759018497,7018,20355,137,Wed,Apr,2017
852189679701164033,1638,11662,135,Wed,Apr,2017
851953902622658560,9956,0,115,Wed,Apr,2017
851861385021730816,23,0,101,Tue,Apr,2017
851591660324737024,3585,16530,140,Tue,Apr,2017
851464819735769094,7337,24746,140,Mon,Apr,2017
851224888060895234,5932,21101,137,Mon,Apr,2017
850753642995093505,9614,31603,137,Sat,Apr,2017
850380195714523136,2720,13349,140,Fri,Apr,2017
850333567704068097,348,3515,136,Fri,Apr,2017
850145622816686080,3969,16688,109,Fri,Apr,2017
850019790995546112,5079,20898,93,Thu,Apr,2017
849776966551130114,7900,31172,135,Thu,Apr,2017
849668094696017920,5145,0,140,Wed,Apr,2017
849412302885593088,3268,16254,107,Wed,Apr,2017
849336543269576704,1964,11695,136,Tue,Apr,2017
849051919805034497,8856,43464,107,Tue,Apr,2017
848690551926992896,4495,25840,119,Mon,Apr,2017
848324959059550208,4786,25387,139,Sun,Apr,2017
848213670039564288,777,8386,135,Sat,Apr,2017
848212111729840128,3198,16742,138,Sat,Apr,2017
847978865427394560,3396,0,140,Sat,Apr,2017
847971574464610304,444,0,81,Sat,Apr,2017
847962785489326080,5315,24120,140,Sat,Apr,2017
847842811428974592,1393,5609,138,Fri,Mar,2017
847617282490613760,441,7184,79,Fri,Mar,2017
847606175596138505,3551,19294,105,Fri,Mar,2017
847251039262605312,4479,21024,100,Thu,Mar,2017
847157206088847362,6122,20491,139,Wed,Mar,2017
847116187444137987,3337,22001,128,Wed,Mar,2017
846874817362120707,4101,20624,133,Wed,Mar,2017
846514051647705089,12141,45900,131,Tue,Mar,2017
846505985330044928,3217,14511,66,Mon,Mar,2017
846153765933735936,9501,32616,108,Mon,Mar,2017
846139713627017216,10373,31806,96,Sun,Mar,2017
846042936437604353,3030,16471,97,Sun,Mar,2017
845812042753855489,9146,30164,110,Sun,Mar,2017
845677943972139009,5011,25900,121,Sat,Mar,2017
845397057150107648,1893,7869,140,Fri,Mar,2017
845306882940190720,5654,24050,75,Fri,Mar,2017
845098359547420673,8028,0,140,Fri,Mar,2017
844979544864018432,2703,14044,115,Thu,Mar,2017
844973813909606400,3375,15589,127,Thu,Mar,2017
844704788403113984,10862,39935,139,Thu,Mar,2017
844580511645339650,3295,17020,129,Wed,Mar,2017
844223788422217728,2314,14061,131,Tue,Mar,2017
843981021012017153,3076,15636,48,Tue,Mar,2017
843856843873095681,4868,22127,137,Mon,Mar,2017
843604394117681152,2895,17434,103,Sun,Mar,2017
843235543001513987,6362,22240,118,Sat,Mar,2017
842846295480000512,3793,15728,90,Fri,Mar,2017
842765311967449089,1342,6978,143,Fri,Mar,2017
842535590457499648,3695,18693,106,Fri,Mar,2017
842163532590374912,6112,25298,140,Thu,Mar,2017
842115215311396866,3197,14486,112,Wed,Mar,2017
841833993020538882,16139,0,95,Wed,Mar,2017
841680585030541313,8173,26548,139,Tue,Mar,2017
841439858740625411,3885,13065,119,Tue,Mar,2017
841320156043304961,5746,20466,63,Mon,Mar,2017
841314665196081154,4951,16391,127,Mon,Mar,2017
841077006473256960,5593,23694,109,Mon,Mar,2017
840761248237133825,1850,0,140,Sun,Mar,2017
840728873075638272,17034,0,144,Sun,Mar,2017
840698636975636481,2,183,56,Sat,Mar,2017
840696689258311684,1037,12733,89,Sat,Mar,2017
840632337062862849,1850,9294,140,Sat,Mar,2017
840370681858686976,4806,17056,113,Sat,Mar,2017
840268004936019968,6059,19970,133,Fri,Mar,2017
839990271299457024,2420,13922,100,Fri,Mar,2017
839549326359670784,8224,28538,131,Wed,Mar,2017
